sample_id	cluster_id	size	mean	std
2_ad_versionB	0	179	3.086633085208707e-61	5.555747551148006e-32
4_lc_versionB	0	179	4.241475494237393e-61	6.51266112602014e-32
3_ec_versionB	0	179	2.7154611334280218e-61	5.211008667645854e-32
2_ad_versionB	1	85	7.986925109790904e-31	8.936959835308035e-17
4_lc_versionB	1	85	0.48957781713954274	0.007940811457011003
3_ec_versionB	1	85	7.470809382781174e-31	8.643384396624492e-17
2_ad_versionB	2	16	0.7527027851690572	0.23923055728955603
4_lc_versionB	2	16	0.5162401987147879	0.0404175158851842
3_ec_versionB	2	16	0.7532359117782766	0.23920775909746816
2_ad_versionB	3	16	4.4462893814269066e-08	2.108642726644663e-05
4_lc_versionB	3	16	4.911606651056722e-08	2.216239089733095e-05
3_ec_versionB	3	16	0.4823956068067318	0.016490338295100403
2_ad_versionB	4	1	0.5753527620406773	0.0994798055594992
4_lc_versionB	4	1	0.010347133814022722	0.01562871146415954
3_ec_versionB	4	1	0.010347133814022722	0.01562871146415954
